"","Date.250","Date.251","Date.252","Date.253","Date.254","Date.255","Date.256","Date.257","Date.258","Date.259","Date.260","Date.261","Date.262","Date.263","Date.264","Date.265","Date.266","Date.267","Date.268","Date.269","Date.270","Date.271","Date.272","Date.273","Date.274","Date.275","Date.276","Date.277","Date.278","Date.279","Date.280","Date.281","Date.282","Date.283","Date.284","Date.285","Date.286","Date.287","Date.288","Date.289","Date.290","Date.291","Date.292","Date.293","Date.294","Date.295","Date.296","Date.297","Date.298","Date.299","Date.300","Date.301","Date.302","Date.303","Date.304","Date.305","Date.306","Date.307","Date.308","Date.309","Date.310","Date.311","Date.312","Date.313","Date.314","Date.315","Date.316","Date.317","Date.318","Date.319","Date.320","Date.321","Date.322","Date.323","Date.324","Date.325","Date.326","Date.327","Date.328","Date.329","Date.330","Date.331","Date.332","Date.333","Date.334","Date.335","Date.336","Date.337","Date.338","Date.339","Date.340"
"Wildlife_CHIR_V402_010",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V402_011",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V402_013",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V402_015",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V402_017",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V501_001",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V501_002",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V501_003",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V501_004",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V502_001",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V502_002",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V502_003",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V502_007",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V502_009",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V502_012",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V502_013",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V502_014",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V502_016",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V502_017",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V502_018",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V502_019",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V502_020",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V502_021",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V502_024",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
"Wildlife_CHIR_V503_002",21.72,20.67,19.28,17.72,21.39,21.56,22.72,22.61,21.17,18.83,18.94,19.94,19.78,19.17,19.56,20.28,20.17,14.72,15,15.11,16.17,17.67,18.5,19.28,18.5,18.83,17.67,18.33,22,21.72,17.67,17,16.17,15.5,13.83,16.94,18.78,19.17,17.83,17.56,16.78,19.28,18.89,16.89,16.83,13,15.5,18.22,15.22,15.33,14.56,14.44,13.72,15.39,13,11.5,13.67,12.83,13,14.39,13.22,12.61,13.72,12,13.78,14.83,14.33,16.11,16.22,16.11,15.39,15.44,12.94,11.67,8.72,10,13.22,12.72,14.06,14.39,14.72,16.28,15.78,10.89,12.17,13.78,12.89,12.28,10.78,9.5,8.44
